0066	319	सिद्धान्तकौमुदी उत्तरार्ध	भट्टोजी दीक्षित	--	Paper	DN	11.9"x4.2"	9.5"x2.2"	10	55	128	--	Good	--	--
0067	320 a	सिद्धान्तकौमुदी	भट्टोजी दीक्षित	--	Paper	DN	12"x4.2"	9.5"x2.6"	10	50	1	--	Good	--	--
0068	320 ba	सिद्धान्तकौमुदी (तिङन्त प्रकरण)	भट्टोजी दीक्षित	--	Paper	DN	12"x4.1"	10"x2.4"	9	41	119	--	Poor	--	--
0069	321	सिद्धान्तकौमुदी 	भट्टोजी दीक्षित	--	Paper	DN	12.2"x3.8"	10.5"x2.7"	9	37	44	--	Good	--	--
0070	560	सिद्धान्तकौमुदी	भट्टोजी दीक्षित	--	Paper	DN	9.5"x4.4"	7.1"x2.5"	10	47	84	--	Good	--	--
0071	596	सिद्धान्तकौमुदी (पूर्वार्ध)	भट्टोजी दीक्षित	--	Paper	DN	11.8"x4"	8.3"x2.1"	10	49	152	--	Fair	--	--
0072	597	सिद्धान्तकौमुदी (उत्तरार्ध)	भट्टोजी दीक्षित	--	Paper	DN	11.8"x4"	8.4"x2.3"	10	47	170	--	Good	--	--
0073	703 a	सिद्धान्तकौमुदी (पूर्वार्ध)	भट्टोजी दीक्षित	--	Paper	DN	12.2"x4.2"	9.2"x2.2"	11	58	101	--	Fair	--	--
0074	703 ba	सिद्धान्तकौमुदी (पूर्वार्ध)	भट्टोजी दीक्षित	--	Paper	DN	11.8"x4.1"	9.4"x2.2"	10	52	48	--	Fair	--	--
0075	703 ka	सिद्धान्तकौमुदी पूर्वार्ध	भट्टोजी दीक्षित	--	Paper	DN	11.9"x4.1"	9.6"x2.4"	9	37	25	--	Fair	--	--
0076	1177 ba	सिद्धान्तकौमुदीटीकाया:	भट्टोजी दीक्षित	--	Paper	DN	9.6"x4.7"	8"x3.5"	10	34	2	--	Fair	--	--
0077	515	स्फोटचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	11"x4.8"	3.7"x8.5"	13	36	10	--	Fair	--	--
0078	1503	स्फोटचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	10.9"x5.2"	8.4"x3.7"	13	34	14	s/o राघव	Fair	shaka 1720	shaka 1720
0079	541	स्फोटवाद	नागेश उपाध्याय	--	Paper	DN	10.2"x4.8"	8.4"x3.3"	10	38	22	--	Fair	--	--
0080	1177 a	स्फोटवाद (शब्दकौस्तुभ)	भट्टोजी दीक्षित	--	Paper	DN	9.6"x4.7"	7.8"x3.2"	11	34	4	--	Fair	--	--
0081	2	सुबोधिका-१ सारस्वतटीका	--	चंद्रकीर्ति सूरी	Paper	DN	10.2"x4.4"	8.2"x3.4"	17	60	68	हर्षकीर्ति	Fair	--	--
0082	421	सूत्राणि (पाणिनीय) सटीक	पाणिनी	--	Paper	DN	9.2"x4.7"	7.4"x2.9"	10	30	53	--	Fair	--	--
0083	453	सूत्रपाठ (कृत्प्रकरण) वृत्तिसहित	सर्व वर्मन	दुर्ग सिन्ह	Paper	DN	10.2"x4"	7"x2.5"	9	32	90	आनंदक व्यास	Good	V.S. 1521	V.S. 1521
0084	1490	सूत्रपाठ (पाणिनीय)	पाणिनी	--	Paper	DN	11.8"x4.2"	9.6"x2.3"	9	45	19	--	Good	--	--
0085	242 ka	तर्कचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	10"x6.3"	7.7"x3.8"	14	36	87	घनश्याम जडिय	Good	--	--
0086	659	उणादिसूत्र	--	--	Paper	DN	8.4"x4.1"	6.7"x2.6" "	9	22	11	--	Fair	--	--
0087	1069	(अ) वादार्थ, (ब)  लकारार्थवादपरिच्छेद	ब.न्यायवाचस्पति	--	Paper	DN	10.8"x4.1"	8.8"x3.1"	16	52	8	--	Good	--	--
0088	449	वैयाकरणभूषणकारिका व्याख्यासहित	भट्टोजी दीक्षित	आशाधर भट्ट	Paper	DN	9.5"x4.5"	7.8"x3"	12	40	46	--	Good	V.S. 1855	V.S. 1855
0089	1569	वैयाकरणभूषण	कोण्ड भट्ट	--	Paper	DN	9.4"x4.6"	7.7"x3.5"	15	37	18	--	Poor	--	--
0090	1212	विभक्तिशब्द	--	--	Paper	DN	12"x5.4"	9"x3.3"	12	33	15	--	Good	--	--
0091	451	छन्दोमज्जरी	--	--	Paper	DN	9"x4.2"	7"x2.8"	9	27	4	--	Good	--	--
0092	47	श्रुतबोध सटीक	कालिदास	--	Paper	DN	10"x5.7"	8.5"x4.5"	16	32	3	--	Fair	--	--
0093	548	श्रुतबोध	कालिदास	--	Paper	DN	8.4"x4.1"	6.8"x2.5"	10	35	3	--	Good	--	--
0094	1223	वृत्तरत्नाकर	केदार भट्ट		Paper	DN	8.4"x4"	6.4"x3"	12	34	9	--	Good	--	--
0095	1566	वृत्तरत्नाकर सटीक	केदार भट्ट	हृदयराम	Paper	DN	See Remark	7.2"x3.5"	15	32	32	व्यास किका	Poor	--	--
0096	551	अलंकारचन्द्रिका	--	वैद्यनाथ	Paper	DN	8"x4"	6.3"x2.8" "	10	32	145	बालकृष्ण जडिय 	Fair	--	--
0097	875	अलंकारतिलक	भानुकर मिश्र	--	Paper	DN	11.9"x5.5"	9.4"x3.4"	13	44	28	बालकृष्ण	Good	shaka 1659	shaka 1659
0098	982	चन्द्रालोकपद्यसूची	--	--	Paper	DN	8.4"x4"	7.8"x3.4"	18	48	2	--	Fair	--	--
0099	1341	काव्यालंकार	रुद्रट	--	Paper	DN	9.6"x4.4"	8"x3.3"	14	36	34	केशवजी s/o गोविंद आचार्य	Poor	V.S. 1715	V.S. 1715
0100	1342	काव्यपरिक्षा (?) सटीक	वागिश	--	Paper	DN	10.2"x4.4"	8.9"x3.5"	17	36	2	--	Good	--	--
0101	1343 a	काव्यप्रकाश (संक्षेप)	--	--	Paper	DN	10.2"x4.4"	8.7"x3.2"	11	42	46	--	Good	--	--
0102	356	कुवलयानन्द	अप्पय्य दीक्षित	--	Paper	DN	9.5"x4.2"	7.5"x2.8"	10	35	9	--	Poor	--	--
0103	1350	कुवलयानन्द	अप्पय्य दीक्षित	--	Paper	DN	9.1"x4.2"	7.6"x2.7"	9	32	9	--	Good	--	--
0104	594	कुवलयानन्द	अप्पय्य दीक्षित	--	Paper	DN	9.1"x4.1"	7.7"x2.8"	10	36	3	--	Good	--	--
0105	778	कुवलयानन्द	अप्पय्य दीक्षित	--	Paper	DN	9.5"x4.2"	7.6"x2.6"	10	32	18	--	Poor	--	--
0106	1080	मंगलवाद	--	--	Paper	DN	8.5"x4.2"	6.6"x2.5"	11	37	6	--	Good	shaka 1653	shaka 1653
0107	79	रसतरंगिणीनौका	--	गंगाराम जडे	Paper	DN	9.8"x4.8"	7.2"x2.6"	9	33	180	गंगाराम	Good	shaka 1801	shaka 1801
0108	640a	रसतरंगिणी	भानुदत्त	--	Paper	DN	8.3"x4"	7"x3"	12	33	36	--	Good	--	--
0109	874	रसतरंगिणी	भानुदत्त	--	Paper	DN	11.9"x5.5"	8.9"x3"	14	45	22	बालकृष्ण	Good	shaka 1659	shaka 1659
0110	1444	रसतरंगिणी	भानुदत्त	--	Paper	DN	11"x5"	9"x3.3"	12	32	22	--	Good	--	--
0111	1459	अलंकारग्रंथ	बालभद्र	--	Paper	DN	10.2"x3.2"	9"x2.3"	9	44	25	--	Fair	--	--
0112	552	वाग्भटालंकार	वाग्भट्ट	--	Paper	DN	9.5"x4.2"	8.2"x3.2"	13	42	11	केशवजी s/o गोविन्द आचार्य	Good	--	--
0113	878	वाग्भटालंकार	वाग्भट्ट	--	Paper	DN	12.2"x5.8"	10.2"x3.7"	14	48	9	बालकृष्ण जडिय 	Fair	shaka 1662	shaka 1662
0114	559	वाग्भटालंकारटीका 	--	जिनवर्धन सूरी	Paper	DN	10"x4.4"	7.8"x2.4"	8	33	41	--	Good	--	--
0115	784+1555	विचारदीप 	भागवत कवि	--	Paper	DN	10.5"x5.5"	8.5"x4"	15	37	20	--	Good	V.S. 1860	V.S. 1860
0116	880 a	अञ्जननिदान	अग्निवेश	--	Paper	DN	11.8"x4.4"	9"x2.6"	10	42	9	--	Good	--	--
0117	1239	अञ्जननिदान	अग्निवेश	--	Paper	DN	11.7"x4.2"	10.7"x3"	11	50	2	--	Good	--	--
0118	883	आयुर्वेदग्रन्थ	--	--	Paper	DN	9.7"x4"	8"x3.2"	14	45	152	--	Fair	--	--
0119	884	आयुर्वेदग्रन्थ	--	--	Paper	DN	9.8"x4"	8"x3.2"	14	48	55	--	Fair	--	--
0120	970	भावप्रकाशसूचिपत्र	भावमिश्र	--	Paper	DN	11.5"x5.1"	11.2"x5"	--	six columns on both pages	1	--	Fair	--	--
0121	444	चरकसंहिता रसविमानस्थान	अग्निवेश	--	Paper	DN	11.2"x5.5"	9"x3.3"	12	47	39	--	Good	--	--
0122	565	चरकसंहिता (सूत्रस्थान)	अग्निवेश	--	Paper	DN	11.3"x5.4"	9.3"x3.3"	12	44	95	--	Good	--	--
0123	445	चिकित्साकलिकाव्याख्या	--	चन्द्रट	Paper	DN	10.4"x4.3"	8"x3.2"	9	42	174	--	Fair	V.S.1849	V.S.1849
0124	880 ba	कालज्ञान	--	--	Paper	DN	1184"x4.4"	9"x2.5"	10	45	1	--	Good	--	--
0125	647	सन्निपातकलिका	वैद्य मथन सिंह	--	Paper	DN	8.5"x4.8"	7"x3"	9	20	14	रघुनाथ  s\o  हिरजी	Fair	V.S. 1699	V.S. 1699
0126	248	वज्रत्रयोदशी - सटीक	--	--	Paper	DN	10.2"x5"	8.2"x3.2"	13	47	8	घनश्याम	Good	--	--
0127	886	योगचिन्तामणि - वैद्यकसारसंग्रहटीकासहित	हर्षकीर्ति	--	Paper	DN	10.9"x5.2"	8"x3.7"	10	32	128	--	Good	--	--
0128	959	अद्भुतसागर (अश्वत्थसेवनविधि)	--	--	Paper	DN	8.2"x3.9"	6.5"x2.7"	9	32	2	--	Fair	--	--
0129	1081ba	बृहस्पतिमन्त्रविधि	--	--	Paper	DN	5.5"x3.7"	4.2"x2.3"	10	20	1	--	Good	--	--
0130	255	बुद्धिविलास	--	--	Paper	DN	10.5"x6.5"	--	--	--	22	--	Fair	--	--
0131	983	चन्द्रभावाध्याय	--	--	Paper	DN	7.4"x4.3"	6.8"x3.4"	9	18	8	--	Good	V.S. 1837	V.S. 1837
0132	1274	चन्द्रार्की	दिनकर	--	Paper	DN	9.2"x4.2"	8.2"x3"	10	38	3	केशवजी	Fair	V.S. 1718	V.S. 1718
0133	585	दैवज्ञवल्लभ	श्रीपति	--	Paper	DN	8.5"x4"	7"x2.9"	8	32	81	--	Poor	--	--
0134	1295	दीक्षादिग्रहणे मासादिफलम्	--	--	Paper	DN	8"x4"	7"x2.8"	12	40	2	--	Good	--	--
0135	243	द्वादशभावानां फलानि	--	--	Paper	DN	9.2"x5.5"	8.2"x4.2"	16	30	12	घनश्याम	Fair	--	--
0136	1019	घाताष्टक	--	--	Paper	DN	8"x4.3"	6"x2.7"	10	25	1	--	Good	--	--
0137	1033	गृहकौमुदी	--	--	Paper	DN	5.6"x3.6"	4.7"x3.9"	13	20	2	--	Good	shaka1653	shaka1653
0138	661	ग्रहणग्रन्थ	विश्राम s/o पुरुषोत्तम	--	Paper	DN	10.6"x4.4"	9.2"x3.7"	10	36	1	--	Fair	--	--
0139	1321	होरावृत्ति	भट्टोत्पल	--	Paper	DN	10.5"x4.8"	8.8"x3"	11	50	17	--	Good	--	--
0140	250	जातकपद्धति	--	--	Paper	DN	10.2"x5.5"	8.2"x4.3"	10	27	10	--	Good	--	--
0141	240	ज्योतिषग्रन्थ	--	--	Paper	DN	10.5"x5.7"	8.2"x5"	20	Kostaks only	47	--	Fair	V.S. 1734	V.S. 1734
0142	867ba	ज्योतिषग्रन्थ	नारायण	--	Paper	DN	10.9"x5.2"	8.5"x3.5"	12	40	2	--	Good	--	--
0143	1300	ज्योतिषग्रन्थ	--	--	Paper	DN	8.3"x4"	6.5"x2.5"	9	27	14	--	Good	--	--
0144	238	ज्योतिषवृत्तशत	महेश्वर	--	Paper	DN	8.5"x4"	6.8"x2.5"	10	38	24	--	Fair	--	--
0145	869	कालनिर्णयदीपिका टीकासहित	रामचन्द्र	नरसिंह	Paper	DN	10.5"x4.2"	8.5"x3"	12	44	97	--	Poor	--	--
0146	1332	कलिविडम्बन	--	--	Paper	DN	6.3"x4.3"	4.5"x2.6"	8	20	4	--	Good	--	--
0147	815	लघुजातक	वराहमिहिर	--	Paper	DN	9.9"x4.4"	8.5"x2.9"	14	46	5	--	Good	--	--
0148	1068	लग्नपत्रिका	--	--	Paper	DN	8.1"x4.1"	7.6"x3.1"	10	36	1	--	Good	shaka 1725	shaka 1725
0149	1081a	मंगलमन्त्रविधि	--	--	Paper	DN	5.5"x3.7"	4.2"x2.3"	9	16	1	--	Good	--	--
0150	1376	मुहूर्तचिन्तामणि	रामदैवज्ञ s/o  अनन्त दैवज्ञ 	--	Paper	DN	8.1x3.9"	6.4"x3"	11	34	4	--	Good	--	--
0151	381	मुहूर्तदर्पण	विद्यामाधव	--	Paper	DN	8.5"x4.2"	6.8"x2.8"	11	33	66	--	Fair	--	--
0152	197	मुहूर्तमार्तण्ड मार्तण्डवल्लभसहित	नारायण	नारायण	Paper	DN	9.7"x6.2"	7.7"x4.5"	13	28	16	--	Fair	--	--
0153	1088	मुहूर्तमार्तण्ड मार्तण्डवल्लभसहित	नारायण	नारायण	Paper	DN	8"x4.5"	6"x3"	7	18	13	--	Good	--	--
0154	1087	मुहूर्तमुक्तामणि	--	--	Paper	DN	9.5"x5.2"	7.3"x3.6"	10	36	5	--	Fair	--	--
0155	1377	मुहूर्ततत्त्व	--	--	Paper	DN	7.9"x3.8"	7.7"x3.5"	45	17	2	--	Poor	--	--
0156	252	नवग्रहसाम	--	--	Paper	DN	10"x6"	7.6"x4.2"	8	20	5	रदेराम त्रिवेदी	Good	V.S. 1855	V.S. 1855
0157	253	पद्धतिभूषण	सोम दैवज्ञ	--	Paper	DN	8.7"x6"	6.7"x4.2"	13	28	14	सदाशिव भट्ट	Good	shaka 1709	shaka 1709
0158	1117	प्रश्नमार्ग	--	--	Paper	DN	16.9"x12"	7.3"x3.1"	14	40	1	--	Good	--	--
0159	1437+1548	राजवल्लभ	--	--	Paper	DN	9.7"x5.2"	8"x3.8"	11	36	33	--	Fair	--	--
0160	847a	रमलग्रन्थ	राम	--	Paper	DN	6.1"x5.5"	5"x4"	10	16	14	--	Good	--	--
0161	847b	रमलग्रन्थ (प्रश्नतन्त्र)	चिन्तामणि	--	Paper	DN	8.3"x4"	6.8"x2.5"	--	--	34	--	Good	--	--
0162	1431	रमलग्रन्थ	--	--	Paper	DN	7"x5"	5.2"x3.8"	11	20	16	--	Poor	--	--
0163	1445	रमलग्रन्थ (शोधपत्र)	--	--	Paper	DN	8.2"x4"	6.2"x2.6"	13	35	1	--	Good	--	--
0164	868	समरसार सटीक	रामचन्द्र	भरत	Paper	DN	10.8"x5.2"	8.5"x4"	5	41	8	--	Good	--	--
0165	1468	संवत्सरफल	--	--	Paper	DN	8.2"x4.1"	6.5"x2.7"	9	28	3	--	Fair	--	--
