Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0678	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	26	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0679	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	21	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0680	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	14	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0681	Purana	गीतार्थबोधिनी	वामन						9.3"x6.3"	34	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0682	Purana	गीतार्थबोधिनी	वामन			shaka 1774			9.3"x6.3"	50	Sanskrit, Marathi	Devanagari	A समश्लोकी translation in मराठी.	
SDPB0683	Purana	ब्रह्मोत्तरखण्ड				shaka 1778			9.5"x6.3"	94	Sanskrit	Devanagari		
SDPB0684	Bhakti	भक्तिहंस	विट्ठलेश्वर	व्रजभूषणजी महाराज					9"x5"	11	Sanskrit	Devanagari		In slip, subject is not specified. Assigned new category of Bhakti.
SDPB0685	Ayurveda	वीरसिंहावलोक	वीरसिंह			V.S. 1538			9.9"x4.4"	175	Sanskrit	Devanagari		
SDPB0686	Vedanta	भक्तिहेतिविवृत्ति	रघुनाथ	व्रजरत्नजी					9.6"x4.5"	14	Sanskrit	Devanagari		
SDPB0687	Tantra Ritual	कक्षपुट	सिद्ध नागार्जुन						9.8"x4.6"	54+51=105	Sanskrit	Devanagari	Folios 1-10 missing.	
SDPB0688	Kavya	रसकदम्बकल्लोलिनी (गीतगोविन्दटीका)				V.S. 1801			10"x4.5"	250	Sanskrit	Devanagari		
SDPB0689	Kavya	सूक्तितरङ्गिणी	हरिकवि			V.S. 1757			10.5"x4.8"	161	Sanskrit	Devanagari		
SDPB0690	Kavya	मेघदूत सटीक	वल्लभ भट्ट						9.6"x4.2"	34	Sanskrit	Devanagari		
SDPB0691	Kavya	मेघदूत	कालिदास	व्यास गोर		V.S. 1587			9.3"x5.1"	16	Sanskrit	Devanagari		
SDPB0692	Purana Ritual	तुलापुरुषदानविधि							10.8"x4.8"	18	Sanskrit	Devanagari		Subject changed from Purana to Purana Ritual.
SDPB0693	Stotra	कल्पचिन्तामणिमन्त्र	चामुण्डराज			V.S. 1799			9.5"x5.5"	53	Sanskrit	Devanagari		
SDPB0694	Purana	शिवताण्डव		जगदीश पण्ड्या		V.S. 1771			10.6"x4.7"	33	Sanskrit	Devanagari		
SDPB0695	Ayurveda	रसरत्नाकर	नित्यनाथ	देवराम जोशी		V.S. 1850			9.9"x4.2"	52	Sanskrit	Devanagari		
SDPB0696	Vedanta	भक्तिहेतुनिर्णय	विट्ठलेश्वर						8.9"x4.9"	7	Sanskrit	Devanagari		
SDPB0697	Dharmashastra	कालनिर्णयदीपिकाविवरण	नृसिंहाचार्य						11.1"x5.1"	157	Sanskrit	Devanagari	Folios 1-79 are missing. Begins abruptly.	
SDPB0698	Architecture	कूपप्रतिष्ठा		शङ्कर दवे					7.2"x4"	6	Sanskrit	Devanagari		
SDPB0699	Rhetorics	रसतरङ्गिणी	भानुदत्त	यज्ञेश्वर					8.4"x4.8"	24	Sanskrit	Devanagari		
SDPB0700	Grammar	लघुशब्देन्दुशेखर	नागोजी भट्ट						11.9"x5.1"	5	Sanskrit	Devanagari	Incomplete.	
SDPB0701	Dharmashastra	नान्दिश्राद्ध							5.4"x9.1"	2	Sanskrit	Devanagari		
SDPB0702	Tantra Ritual	बटुकभैरवदीपदानपद्धति		सदानाथ दवे		V.S. 1785			4.5"x3.6"	9	Sanskrit	Devanagari		
SDPB0703	Kavya	मेघदूत सटीक							10.6"x4"	15	Sanskrit	Devanagari	Incomplete. Folios 92-106 only.	
SDPB0704	Purana	नारायणबलि							6.9"x4.4"	4	Sanskrit	Devanagari		
SDPB0705	Jyotisha	जातकालङ्कार	गणेश			V.S. 1789			10"x4.5"	16	Sanskrit	Devanagari		
SDPB0706	Tantra	पूजाग्रन्थ				V.S. 1740			7.6"x4.2"	5	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0707	Purana	नारायणबलि		अनन्त		V.S. 1746			7.1"x4.7"	3	Sanskrit	Devanagari		
SDPB0708	Jyotisha	पञ्चकविधान		जेशङ्कर त्रिवेदी					8.8"x4.9"	2	Sanskrit	Devanagari		
SDPB0709	Vedic Literature	दिक्पालपूजा		हरिशङ्कर दीक्षित					18"x8.2"	1	Sanskrit	Devanagari		
SDPB0710	Dharmashastra	दानप्रयोग							8.2"x4.8"	1	Sanskrit	Devanagari		
SDPB0711	Dharmashastra	a. चलार्चाप्रतिष्ठा, b. प्राणप्रतिष्ठा	a. अनन्तदेव	रामचन्द्र					7.5"x4.2"	6	Sanskrit	Devanagari		
SDPB0712	Rhetorics	रसतरङ्गिणी सटीका	वेणीदत्त						10"x4.2"	61	Sanskrit	Devanagari	Incomplete.	
SDPB0713	Rhetorics	कुवलयानन्द	अप्पय्य दीक्षित						9.2"x4.7"	43	Sanskrit	Devanagari	Incomplete. Folios 1-17 and 26-43 only.	
SDPB0714	Dharmashastra	संस्कारकौस्तुभ	अनन्तदेव						11"x5"	16	Sanskrit	Devanagari	Folios 59-74 only. Begins and ends abruptly.	
SDPB0715	Rhetorics	सारबोधिनी (काव्यप्रकाशटीका)	श्रीवत्स वर्मा						9.3"x4"	13	Sanskrit	Devanagari	Ends abruptly.	
SDPB0716	Rhetorics	काव्यप्रकाशटीका	सरस्वती						10.5"x4"	34	Sanskrit	Devanagari	Incomplete. Folios 6-39 only.	
SDPB0717	Rhetorics	काव्यविलास	भट्टाचार्य						8.6"x3.8"	56	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0718	Purana Ritual	विनायकशान्तिप्रयोग	नीलकण्ठ भट्ट						7.7"x4"	5	Sanskrit	Devanagari		
SDPB0719	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.4"x6.6"	21	Sanskrit	Devanagari		
SDPB0720	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.4"x6.6"	17	Sanskrit	Devanagari		
SDPB0721	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.4"x6.6"	10	Sanskrit	Devanagari		
SDPB0722	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.4"x6.6"	10	Sanskrit	Devanagari		
SDPB0723	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.4"x6.6"	12	Sanskrit	Devanagari		
SDPB0724	Ayurveda	महार्णव							11.1"x5.1"	412	Sanskrit	Devanagari		
SDPB0725	Nataka	मालतीमाधव सटीक	भवभूति	बालकृष्ण दीक्षित		V.S. 1715			10.9"x4.2"	63	Sanskrit	Devanagari		
SDPB0726	Nataka	प्रबोधचन्द्रोदय सटीक	गणेश दीक्षित	बालकृष्ण		V.S. 1771		सूर्यपुर	10.4"x6"	50	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0727	Nataka	मालतीमाधव सटीक	भवभूति, जगद्धर			V.S. 1783			10.5"x4.8"	99	Sanskrit	Devanagari		
SDPB0728	Dharmashastra	शान्तिसार	दिनकर भट्ट						11"x5.1"	162	Sanskrit	Devanagari		
SDPB0729	Dharmashastra	शान्तिरत्नाकर	कमलाकर भट्ट						11"x5.2"	385	Sanskrit	Devanagari		
SDPB0730	Jyotisha	योगिनीहृदयदीपिका	अमृतानन्द						11"x4.8"	136	Sanskrit	Devanagari		
SDPB0731	Grammar	सिद्धान्तकौमुदी	भट्टोजी दीक्षित						9.6"x4.4"	61	Sanskrit	Devanagari	Incomplete.	
SDPB0732	Vedic Literature	आरण्यकगान		नानाभाई श्रीकृष्ण		V.S. 1740			9.5"x5.5"	93	Sanskrit	Devanagari		
SDPB0733	Rhetorics	अलङ्कारचन्द्रिका (कुवलयानन्दटीका)	अप्पय्य दीक्षित, वैद्यनाथ						9.4"x4.6"	8	Sanskrit	Devanagari		
SDPB0734	Tantra Ritual	प्रेतबलिविधान		आनन्दराम शिवराम		V.S. 1813			7.5"x4.5"	5	Sanskrit	Devanagari		
SDPB0735	Dharmashastra	गृहपद्धति		गङ्गादास		V.S. 1694			7.8"x4.5"	13	Sanskrit	Devanagari		
SDPB0736	Stotra	विवाहमन्त्र				V.S. 1625			8.5"x4"	3	Sanskrit	Devanagari		
SDPB0737	Tantra Ritual	पुत्तलविधि		उमाशङ्कर		V.S. 1858			8.1"x4.8"	12	Sanskrit	Devanagari		
SDPB0738	Purana Ritual	स्वस्तिवाचन							7.9"x4.6"	6	Sanskrit	Devanagari		
SDPB0739	Dharmashastra	वास्तुकर्म							9.5"x5.5"	3	Sanskrit	Devanagari		
SDPB0740	Vedic Ritual	श्राद्धविधि							8.9"x3.9"	4	Sanskrit	Devanagari		
SDPB0741	Stotra	देवीस्तोत्र							8.7"x4.2"	10	Sanskrit	Devanagari		
SDPB0742	Stotra	शैवापामार्जन							10.5"x4.5"	6	Sanskrit	Devanagari		
SDPB0743	Purana	शिवगीता	केलाडी वेङ्कटाद्रि नायक						10"x5.8"	136	Sanskrit	Devanagari		
SDPB0744	Vedic Ritual	ग्रहमखप्रयोगपद्धति		रामचन्द्र					8.1"x4.6"	18	Sanskrit	Devanagari		Subject changed from Vedic literature to Vedic ritual.
SDPB0745	Dharmashastra	आह्निक	अचल दवे	गणेशजी दवे		V.S. 1783			9.2"x4"	88	Sanskrit	Devanagari		
SDPB0746	Vedic Literature	शाङ्खायनगृह्यसूत्र गृह्यसूत्रदीपिकासहित	नारायण	कृष्णदेव द्विवेदी		V.S. 1708		काशी	9.1"x3.8"	308	Sanskrit	Devanagari		
SDPB0747	Vedic Ritual	महारुद्रविधान		भाइशङ्कर द्विवेदी		V.S. 1744		सूर्यपुर	9.2"x4.1"	40	Sanskrit	Devanagari		Subject changed from Vedic literature to Vedic ritual.
SDPB0748	Grammar	व्याकरणग्रन्थ							9.6"x5.1"	90	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0749	Vedanta	महाविवेक सटीक	विद्यारण्य						11.2"x5.2"	3	Sanskrit	Devanagari		
SDPB0750	Kavya	महाभारत भारतार्थप्रदीपिकासहित (भीष्मपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.8"x5.5"	285	Sanskrit	Devanagari	Incomplete. Folios 1-33 and 126-285 only.	
SDPB0751	Kavya	महाभारत भारतार्थप्रदीपिकासहित (द्रोणपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.5"x5.5"	340	Sanskrit	Devanagari		
SDPB0752	Kavya	महभारत भारतभावदीपसहित (कर्णपर्व)	व्यास, नीलकण्ठ						13.5"x5.5"	264	Sanskrit	Devanagari		
SDPB0753	Kavya	महाभारत भारतार्थप्रदीपिकासहित (शल्यपर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.5"x5.5"	58	Sanskrit	Devanagari		
SDPB0754	Kavya	महाभारत भारतार्थप्रदीपिकासहित (गदापर्व)	वेद व्यास, अर्जुन मिश्र			V.S. 1717			13.5"x5.5"	70	Sanskrit	Devanagari		
SDPB0755	Yoga	पातञ्जलयोगशास्त्रसूत्रव्याख्या		आत्माराम					10"x4.5"	52	Sanskrit	Devanagari		
SDPB0756	Kavya	विदग्धमुखमण्डनटीका							11.1"x6"	50	Sanskrit	Devanagari		
SDPB0757	Yoga	पातञ्जलयोगशास्त्र राजमार्तण्डसहित	भोजदेव	माधवानन्द सरस्वती		V.S. 1867		गुप्तेश्वर	8.8"x5"	42	Sanskrit	Devanagari		
SDPB0758	Vedanta	ध्यानदीप सटीक	विद्यारण्य						11.2"x5.2"	28	Sanskrit	Devanagari		
SDPB0759	Vedanta	चित्रदीपव्याख्या	विद्यारण्य						11.2"x5.2"	49	Sanskrit	Devanagari		
SDPB0760	Vedanta	तृप्तिदीप	विद्यारण्य						11.2"x5.2"	51	Sanskrit	Devanagari		
SDPB0761	Vedanta	विषयानन्द	विद्यारण्य						11.2"x5.2"	5	Sanskrit	Devanagari		
SDPB0762	Vedic Literature	वैश्वदेव		देवशङ्कर		V.S. 1769			7.2"x4.2"	6	Sanskrit	Devanagari		
SDPB0763	Vedanta	अद्वैतानन्द	विद्यारण्य						11.2"x5.2"	20	Sanskrit	Devanagari		
SDPB0764	Vedanta	आत्मानन्द	विद्यारण्य						11.2"x5.2"	18	Sanskrit	Devanagari		
SDPB0765	Vedanta	योगानन्द	विद्यारण्य						11.2"x5.2"	32	Sanskrit	Devanagari		
SDPB0766	Vedanta	कूटस्थदीपव्याख्या	विद्यारण्य						11.2"x5.2"	14	Sanskrit	Devanagari		
SDPB0767	Vedanta	कूटस्थदीपव्याख्या	विद्यारण्य						11.2"x5.2"	16	Sanskrit	Devanagari		
SDPB0768	Vedanta	नाटकदीपव्याख्या	विद्यारण्य						11.2"x5.2"	6	Sanskrit	Devanagari		
SDPB0769	Tantra	त्रिकूटारहस्य							11.2"x5.2"	40	Sanskrit	Devanagari		
SDPB0770	Vedanta	द्वैतविवेक पदयोजना	विद्यारण्य						11.2"x5.2"	12	Sanskrit	Devanagari		
SDPB0771	Vedanta	तृप्तिदीप	विद्यारण्य						11.2"x5.2"	65	Sanskrit	Devanagari	Folios 1-29 missing. Begins abruptly.	
SDPB0772	Dharmashastra	कालपरीक्षा							11.5"x5.3"	17	Sanskrit	Devanagari		
SDPB0773	Champukavya	नरसिंहचम्पू	केशव	काशिराम		V.S. 1885			8.6"x4.6"	23	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0774	Vedic Ritual	ग्रहमखप्रयोग		रामचन्द्र					8.1"x4.6"	18	Sanskrit	Devanagari		Subject changed from Vedic literature to Vedic ritual.
SDPB0775	Vedic Literature	महाव्रत							8.8"x3.6"	9	Sanskrit	Devanagari		
SDPB0776	Kavya	सप्तशती	गोवर्धन						9.5"x4.2"	30	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0777	Kavya	आर्यासप्तशती	गोवर्धन						11.1"x5.1"	44	Sanskrit	Devanagari	Follios 1-3 are missing. Begins abruptly.	
SDPB0778	Stotra	बालात्रिपुरासुन्दरीमन्त्र							6"x4"	29	Sanskrit	Devanagari		
SDPB0779	Stotra	गणपतिसहस्रनाम							9.6"x5.6"	21	Sanskrit	Devanagari		
SDPB0780	Tantra Ritual	त्रिपुरसुन्दरीपूजाप्रयोग							7.4"x4.2"	13	Sanskrit	Devanagari		
SDPB0781	Architecture	कुण्डसिद्धि सटीक	विट्ठल दीक्षित						10.8"x5"	34	Sanskrit	Devanagari		
SDPB0782	Stotra	विष्णुसहस्रनामभाष्य	शङ्कराचार्य						10"x6"	57	Sanskrit	Devanagari		
SDPB0783	Architecture	वास्तुप्रयोग							6.6"x4"	6	Sanskrit	Devanagari		
SDPB0784	Stotra	रामरक्षास्तोत्र				V.S. 1828			5.1"x3.1"	13	Sanskrit	Devanagari		
SDPB0785	Tantra Ritual	शतचण्डीविधान							8.8"x4.4"	12	Sanskrit	Devanagari	Ends abruptly.	
SDPB0786	Tantra Ritual	पद्मकुण्डप्रकार (कुण्डतत्त्वप्रदीपोक्त)									Sanskrit	Devanagari	Manuscript 786 starts abruptly. 	In manuscript 786, there is data of 12 folios of 785. Thereafter it starts the correct data of 786. Need to check from manuscript.
SDPB0787	Tantra Ritual	नवार्णवमन्त्रपद्धति				V.S. 1873			10"x4.4"	43	Sanskrit	Devanagari		
SDPB0788	Dharmashastra	मदनपारिजात (८ स्तबक)	विश्वेश्वर						10.6"x6"	23	Sanskrit	Devanagari	Folios 288-311 only. Begins and ends abruptly.	Wrongly kept in 988 folder.
SDPB0789	Purana Ritual	उद्यापनविधि							6.5"x3.7"	10	Sanskrit	Devanagari	Folios 35 and 42 are missing.	
SDPB0790	Vedic Literature	मण्डलपूजा							6.6"x4.2"	19	Sanskrit	Devanagari		
SDPB0791	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"6.9"	36	Sanskrit	Devanagari		
SDPB0792	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	17	Sanskrit	Devanagari		
SDPB0793	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	7	Sanskrit	Devanagari		
SDPB0794	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	12	Sanskrit	Devanagari		
SDPB0795	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	7	Sanskrit	Devanagari		
SDPB0796	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	17	Sanskrit	Devanagari		
SDPB0797	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	13	Sanskrit	Devanagari		
SDPB0798	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	22	Sanskrit	Devanagari		
SDPB0799	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	14	Sanskrit	Devanagari		
SDPB0800	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	16	Sanskrit	Devanagari		
SDPB0801	Kavya	शङ्करविजयडिण्डिम	धनपतिसूरि						12.3"x6.9"	11	Sanskrit	Devanagari		
SDPB0802	Dharmashastra	त्रिंशत्श्लोकोक्त विवृत्ति	रघुनाथ भट्ट			V.S. 1801			9.8"x4.9"	76	Sanskrit	Devanagari		
SDPB0803	Vedanta	सप्तसूत्रमहावाक्यसिद्धान्त	शङ्कराचार्य	माधवानन्द सरस्वती					6.6"x4.5"	26	Sanskrit	Devanagari		
SDPB0804	Dharmashastra	कालनिर्णय	माधवाचार्य	रघुनाथ भट्ट		V.S. 1732			10.2"x4.4"	129	Sanskrit	Devanagari		
SDPB0805	Dharmashastra	धर्मशास्त्रग्रन्थ		गोविन्द पञ्चोली		V.S. 1719			8"x4.5"	55	Sanskrit	Devanagari	Folios 1-25 missing. Begins abruptly.	
SDPB0806	Stotra	शिवताण्डवस्तोत्र	रावण						11"x4.1"	3	Sanskrit	Devanagari		
SDPB0807	Tantra Ritual	a. सरस्वतीमन्त्र, b. विद्याचक्रपूजाविधि							9.8"x4.5"	16	Sanskrit	Devanagari		
SDPB0808	Vedic Literature	ईशोपनिषद्, केनोपनिषद्, कठोपनिषद्, प्रश्नोपनिषद्							9.5"x4.2"	7	Sanskrit	Devanagari		Slip did not mention the Subject.
SDPB0809	Vedanta	शारीरकसूत्र		माधवानन्द सरस्वती		V.S. 1860			9.5"x4.2"	10	Sanskrit	Devanagari		
SDPB0810	Vedic Literature	शाङ्खायन आरण्यक		गङ्गाधर		V.S. 1596			9.9"x4.4"	48	Sanskrit	Devanagari		
SDPB0811	Vedic Literature	श्वेताश्वतरोपनिषद्		माधवानन्द सरस्वती		V.S. 1859		अश्वनीकुमार	9.5"x4.2"	6	Sanskrit	Devanagari		
SDPB0812	Grammar	शब्दानुशासन (१ अध्याय)	हेमचन्द्र						10"x4.5"	9	Sanskrit	Devanagari		
SDPB0813	Dharmashastra	कालनिर्णयसिद्धान्त सटीक	महादेव, रघुराम						9.3"x4"	136	Sanskrit	Devanagari		
SDPB0814	Dharmashastra	आशौचदशकभाष्य	विज्ञानेश्वर हरिहर	शिवदेव		V.S. 1846		अहमदाबाद	9.3"x4.2"	15	Sanskrit	Devanagari		
SDPB0815	Dharmashastra	त्र्यम्बकी आशौचनिर्णय	रघुनाथ पण्डित	शिवदेव		V.S. 1870			8.7"x3.8"	13	Sanskrit	Devanagari		
SDPB0816	Vedic Literature	तैत्तिरीयोपनिषद्भाष्य	शङ्कराचार्य			V.S. 1838			8.4"x4.8"	45	Sanskrit	Devanagari		
SDPB0817	Jyotisha	समयप्रदीप	विट्ठल दीक्षित	गङ्गाधर		V.S. 1771			9.3"x4.2"	14	Sanskrit	Devanagari		
SDPB0818	Dharmashastra	a. आशौचनिर्णय, b. मूलाध्यायविवरण	a. भट्टोजी दीक्षित, b. गोपालजी			V.S. 1805			7.7"x4.4"	11	Sanskrit	Devanagari		
SDPB0819	Dharmashastra	सुबोधिनी	अनन्त भट्ट	इच्छाराम शिवराम		V.S. 1798			8.1"x4.4"	45	Sanskrit	Devanagari		
SDPB0820	Dharmashastra	आशौचसङ्ग्रहव्याख्या (त्रिंशत्श्लोकीटीका)							9.9"x4.2"	18	Sanskrit	Devanagari		
SDPB0821	Tantra	चिदम्बरेश्वरचक्रप्रस्तार							9.7"x4.6"	7	Sanskrit	Devanagari		
SDPB0822	Kavya	सप्तशतीव्याख्या	नागोजी भट्ट	शिवशङ्कर भट्ट		V.S. 1851			7.8"x3.6"	56	Sanskrit	Devanagari		
SDPB0823	Vedic Literature	शान्तिपाठ							10.1"x4.4"	1	Sanskrit	Devanagari		
SDPB0824	Tantra	गणेशपद्धति	रत्नेश्वर शुक्ल			V.S. 1829			6.5"x4.1"	51	Sanskrit	Devanagari	Folios 1-2 are missing. Begins abruptly.	
SDPB0825	Rhetorics	अलङ्कारग्रन्थ							6.6"x4.1"	26	Sanskrit	Devanagari	Folios 12-37 only. Begins and ends abruptly.	
SDPB0826	Tantra Ritual	वाक्वादिनीमन्त्रादिजपविधि							20"x6"	1	Sanskrit	Devanagari		
SDPB0827	Tantra Ritual	त्रिपुरसुन्दरीपूजापद्धति	नित्यानन्दनाथ			V.S. 1814			6.2"x3.4"	65	Sanskrit	Devanagari		
SDPB0828	Purana Ritual	महालिङ्गोद्यापनविधि							5.9"x4"	8	Sanskrit	Devanagari		
SDPB0829	Stotra	पूजनस्तव	शङ्कराचार्य			V.S. 1718			7"x4"	17	Sanskrit	Devanagari		
SDPB0830	Purana	श्रीमद्भागवत (११ स्कन्ध)							11.6"x5.3"	101	Sanskrit	Devanagari	Ends abruptly.	
SDPB0831	Purana	श्रीमद्भागवत (१२ स्कन्ध)				V.S. 1719			11.1"x4.8"	91	Sanskrit	Devanagari		
SDPB0832	Purana	श्रीमद्भागवत (८ स्कन्ध)							11"x5"	111	Sanskrit	Devanagari		
SDPB0833	Purana	श्रीमद्भागवत (५ स्कन्ध)							11.6"x5"	201	Sanskrit	Devanagari	Folios 1-100 missing. Begins abruptly.	
SDPB0834	Purana	श्रीमद्भागवत (३ स्कन्ध)				V.S. 1754			9.3"x5.5"	102	Sanskrit	Devanagari		
SDPB0835	Stotra	लक्ष्मीसहस्रस्तोत्र	वेङ्कटाचार्य			V.S. 1920			9.3"x4.3"	55	Sanskrit	Devanagari		
SDPB0836	Vedic Ritual	पिण्डदानविधि							10.5"x4.6"	31	Sanskrit	Devanagari	Folios 1-19 are missing. Begins abruptly.	
SDPB0837	Dharmashastra	जातिविवेक	विश्वनाथ	कृष्ण		V.S. 1911			9.8"x4.5"	35	Sanskrit	Devanagari		
SDPB0838	Vedic Ritual	गृह्यकारिका				V.S. 1569			9.6"x4.4"	135	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0839	Dharmashastra	विधानमाला				V.S. 1768			10.2"x4.5"	272	Sanskrit	Devanagari		
SDPB0840	Vedic literature	शाङ्खायन गृह्यसूत्र		रुद्रदेव		V.S. 1739			9.3"x4.2"	49	Sanskrit	Devanagari		Not scanned.
SDPB0841	Stotra	ज्ञानार्णव				V.S. 1616			7.2"x4.5"	88	Sanskrit	Devanagari		
SDPB0842	Tantra Ritual	महोपनिषद्									Sanskrit	Devanagari		
SDPB0843	Stotra	बालात्रिपुरापञ्चरत्नस्तोत्र							5.3"x3"	4	Sanskrit	Devanagari		
SDPB0844	Tantra Ritual	पीठपूजा							6"x4"	8	Sanskrit	Devanagari	Folio 1 is missing. Begins abruptly.	
SDPB0845	Phonetics	वर्णमाला							6.1"x3.7"	4	Sanskrit	Devanagari		
SDPB0846	Stotra	लक्ष्मीव्यङ्कटेश्वरमहामन्त्र							5.4"x3.2"	7	Sanskrit	Devanagari		
SDPB0847	Stotra	सिद्धलक्ष्मीस्तोत्र							5"x9.3"	1	Sanskrit	Devanagari		
SDPB0848	Dharmashastra	श्राद्धकारिका		शिवदेव द्विवेदी		V.S. 1846			9.1"x4.2"	3	Sanskrit	Devanagari		
SDPB0849	Vedic Literature	ईशावास्योपनिषद्भाष्य	शङ्कराचार्य						13.5"x7.3"	12	Sanskrit	Devanagari		
SDPB0850	Vedic Literature	ईशावास्योपनिषद्भाष्य	शङ्कराचार्य						9.5"x4"	10	Sanskrit	Devanagari		
SDPB0851	Tantra Ritual	कार्तवीर्यदीपविधि		भद्रशङ्कर		V.S. 1875			5.8"x3.5"	8	Sanskrit	Devanagari		
SDPB0852	Purvamimamsa	प्रमाणपरिच्छेद	भट्टाचार्य			V.S. 1775			9.2"x5.2"	287	Sanskrit	Devanagari		
SDPB0853	Vedic Literature	आथर्वणीय उपनिषद्							8.4"x5.2"	215	Sanskrit	Devanagari		
SDPB0854	Grammar	पाणिनीय व्याकरण	पाणिनि	हरिशङ्कर दीक्षित		V.S. 1755			10.1"x4.4"	89	Sanskrit	Devanagari	Folios 1-9 are missing. Begins abruptly.	
SDPB0855	Vedanta	मध्वसम्प्रदायग्रन्थसङ्ग्रह							8.9"x5"	40	Sanskrit	Devanagari		
SDPB0856	Kavya	सौभाग्यवर्द्धनी	शङ्कराचार्य कैवल्याश्रम	नीलकृष्ण		V.S. 1710			7.9"x3.9"	72	Sanskrit	Devanagari		
SDPB0857	Vedic Literature	चित्त्युपनिषद्भाष्य		लक्ष्मण विद्याधर					9.5"x5"	22	Sanskrit	Devanagari		
SDPB0858	Vedic Literature	तैत्तिरीयनारायणोपनिषद्							9"x5"	14	Sanskrit	Devanagari		
SDPB0859	Vedanta	तत्त्वानुसन्धान	महादेव सरस्वती मुनि			V.S. 1847			9"x5"	58	Sanskrit	Devanagari		
SDPB0860	Stotra	दिव्यनाम्नाममृतस्तोत्र				V.S. 1740			7.5"x4"	3	Sanskrit	Devanagari		
SDPB0861	Vedanta	भूषणसारदर्पण	हरिवल्लभ			V.S. 1865			9.6"x4.2"	187	Sanskrit	Devanagari	Folios 1-86 are missing. Begins abruptly.	
SDPB0862	Vedanta	विद्यानन्द	विद्यारण्य मुनि						11.2"x5.2"	5	Sanskrit	Devanagari		
SDPB0863	Vedic Literature	शाङ्खायन गृह्यसूत्र		करुणाशङ्कर		V.S. 1798			9.2"x4.2"	47	Sanskrit	Devanagari		
SDPB0864	Kavya	भामिनीविलास	जगन्नाथ पण्डित						6.7"x4"	9	Sanskrit	Devanagari	Ends abruptly.	
SDPB0865	Tantra Ritual	त्रैलोक्यमोहनकवच							6"x4"	4	Sanskrit	Devanagari		
SDPB0866	Tantra Ritual	पञ्चाक्षरसङ्क्षेपपद्धति	बालकृष्ण दीक्षित						7.6"x4.1"	19	Sanskrit	Devanagari		
SDPB0867	Kavya	सुभाषितसङ्ग्रह							7.7"x4.5"	8	Sanskrit	Devanagari		Not scanned.
SDPB0868	Tantra Ritual	मुक्तिसाधककवच							6.3"x3.4"	38	Sanskrit	Devanagari		
SDPB0869	Stotra	दीपिनीमन्त्र							3.4"x6.4"	10	Sanskrit	Devanagari		Manuscripts 869 and 870 data is interchanged in scanned copies.
SDPB0870	Stotra	हाटकेश्वरस्तोत्र							6.9"x4.4"	2	Sanskrit	Devanagari		Manuscripts 869 and 870 data is interchanged in scanned copies.
SDPB0871	Tantra Ritual	सन्ध्याविधि							6.4"x3.8"	14	Sanskrit	Devanagari		
SDPB0872	Stotra	नारायणकवच		त्र्यम्बकजी		V.S. 1747			6.3"x3.6"	6	Sanskrit	Devanagari		
SDPB0873	Stotra	शिवाष्टकस्तोत्र							7.2"x3.9"	1	Sanskrit	Devanagari		
