Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0363A	Purana Ritual	अनन्तव्रतपूजा		शिवकृष्ण दीक्षित					9.3"x5.3"	4	Sanskrit	Devanagari		
SDPB0364	Jyotisha	सारोद्धार							9.5"x5.8"	15	Sanskrit	Devanagari		
SDPB0364A	Purana Ritual	ऋषिपञ्चमीपूजा				V.S. 1726			9.5"x4.5"	2	Sanskrit	Devanagari		
SDPB0365	Stotra	लक्ष्मीनृसिंहस्तोत्र							5.2"x2.4"	2	Sanskrit	Devanagari		
SDPB0366	Tantra Ritual	बटुकबलिदान							4.8"x3.6"	2	Sanskrit	Devanagari		
SDPB0366A	Stotra	शिवहृदयस्तोत्र							9"x5"	3	Sanskrit	Devanagari		
SDPB0367	Stotra	श्रीपञ्चाक्षरमन्त्रविधि							9"x5"	5	Sanskrit	Devanagari		
SDPB0367A	Purana	भगवद्गीता							8.4"x3.9"	61	Sanskrit	Devanagari	Begins and ends abruptly.	
SDPB0368	Purana Ritual	शिवपञ्जर							9"x5"	6	Sanskrit	Devanagari		
SDPB0368A	Stotra	प्रातःसन्ध्या							6.6"x4.1"	6	Sanskrit	Devanagari		
SDPB0369	Stotra	हरिहरात्मकस्तव							6.2"x4.1"	5	Sanskrit	Devanagari		
SDPB0369A	Vedic Literature	कालाग्निरुद्रोपनिषद्							9"x5"	1	Sanskrit	Devanagari		
SDPB0370	Jyotisha	सूर्यव्रत							8.8"x4.8"	17	Sanskrit	Devanagari		
SDPB0370	Stotra	विष्णुनामसहस्र				V.S. 1783			7.1"x4.1"	10	Sanskrit	Devanagari	Begins abruptly.	
SDPB0371	Stotra	श्रीमहागणपतिस्तोत्र							6.7"x4"	5	Sanskrit	Devanagari		
SDPB0372	Vedic Literature	मन्युसूक्त							8.6"x4.4"	1	Sanskrit	Devanagari		
SDPB0373	Jyotisha	बृहस्पतिपूजा		शङ्कर अग्निदत्त पाध्या					9"x5"	6	Sanskrit	Devanagari		
SDPB0374	Purana Ritual	अनन्तव्रतपूजा		शङ्कर अग्निदत्त पाध्या					9"x5.1"	4	Sanskrit	Devanagari		
SDPB0375	Purana Ritual	गणपतिस्तवराज							8.8"x5"	2	Sanskrit	Devanagari		
SDPB0376	Stotra	मण्डलपूजा		दयाशङ्कर दीक्षित		V.S. 1801			8.6"x4.5"	4	Sanskrit	Devanagari		
SDPB0377	Purana Ritual	अनन्तव्रतकथा		मकन्दजी दवे					8.3"x4.7"	8	Sanskrit	Devanagari		
SDPB0378	Dharmashastra	ललितापूजनविधि		मकन्दजी दवे					8.5"x4.8"	9	Sanskrit	Devanagari		
SDPB0379	Dharmashastra	जलधेनुदानविधि							8.4"x4.8"	2	Sanskrit	Devanagari		
SDPB0380	Dharmashastra	महिषीदानविधि		भद्रशङ्कर		V.S. 1861			8.8"x4.1"	1	Sanskrit	Devanagari		
SDPB0381	Purana Ritual	महाविष्णुप्रीत्यर्थप्रयोग		भगवान भट्ट		V.S. 1738			8.6"x4.8"	4	Sanskrit	Devanagari	Owner: जोतिषी पुरुषोत्तम	In slip, owner shown as author.
SDPB0382	Dharmashastra	चान्द्रायणव्रत		रमाशङ्कर		V.S. 1800 (?)			9.3"x5.5"	5	Sanskrit	Devanagari		
