००३७	२४+१३३९	काशिकावृत्ति	जयादित्य: & वामन:	--	पेपर	DN	"अ.११""x ५', ब.१०""x ४.५'"	"अ.८.५'x३.५', ब.८""á३"""	अ.१२, ब.१०	अ.४५, ब.३८	६७+४५+१०३+१०७+१११+१५८+६५+५५=७११	--	मध्यमस्तरीय:	--	All Adhyayas separately paginated, folios of adyayas I,II,VII,VIII have larger size (a), other have smaller size (b). Foll. In the beginning of I,II torn and text damaged. Foll. In II are ruled by double red lines for margins.	Grammar
००३८	1058	क्त्वाप्रत्ययविचार	--	--	पेपर	DN	"१०.३""x५.५'"	"९""x४.४"""	22	50	1	--	उत्तमस्तरीय:	--	Edges torn	Grammar
००३९	633	लघुकौमुदी	वरदराज	--	पेपर	DN	"८""x४'"	"६.५""x२.५'"	7	28	5	--	उत्तमस्तरीय:	--	Ends Abruptly	Grammar
००४०	४४७ अ	लिंगानुशासन वृत्तिसहित	पाणिनी:	--	पेपर	DN	"८.२""x३.७"""	"६.७""x३'"	9	27	६+१५=२१	केशवजी s/o गोविंद:	उत्तमस्तरीय:	वि.सं. १७१३	Foll 1-6 have text & 1-15 have vritti both separatly paginated. vritti ends abruptly.	Grammar
००४१	494	मध्यमनोरमा (सुप्तिङन्तव्याख्यान)	--	राम: शर्मा	पेपर	DN	"९.७""x४.३"""	"७.६""x२.५'"	9	33	६८+१०७= १७५	--	उत्तमस्तरीय:	--	The Ms. Has two parts with separate pagination 1-68,1-107, F.76 is numbered twice. Section on sup & tiri from Madhyamanorama of Ramsarama on the Madhyasiddhantakaumudi of Varadaraja.	Grammar
००४२	485	मध्यसिद्धांतकौमुदी (उतरार्धकृत्प्रक्रिया)	वरदराज:	--	पेपर	DN	"८.३""x३.८"""	"६""x२.५'"	13	30	19	सिताराम:	उत्तमस्तरीय:	शक १६९३	--	Grammar
००४३	767	मध्यसिद्धान्तकौमुदी (स्वरप्रक्रिया)	वरदराज:	--	पेपर	DN	"८.२""x४"""	"६.५""x२.६'"	12	32	40	राम: जडिय:	उत्तमस्तरीय:	वि.सं. १६९४	F-1-6,26-35 missing begins abruptly	Grammar
००४४	1358	मध्यसिद्धान्तकौमुदी 	वरदराज:	--	पेपर	DN	"८.३""x४"""	"६.३""x२'"	9	28	9	--	मध्यमस्तरीय:	--	F-4-18 missing ends abruptly	Grammar
००४५	1492	मध्यसिद्धान्तकौमुदी 	वरदराज:	--	पेपर	DN	"८.३""x४.२"""	"६""x२.२'"	9	28	18	--	उत्तमस्तरीय:	--	F.1-3, 5, 15, missing begins and ends abruptly	Grammar
००४६	314	महाभाष्य (१.१.१) प्रदीपसहित	पतंजलिः	कैयट:	पेपर	DN	"१२""x८.२'"	"१0""x६.२'"	24	43	10	--	मध्यमस्तरीय:	--	Commentary ends abruptly	Grammar
००४७	80	महाभाष्य (१.१) प्रदीपसहित	पतंजलिः	कैयट:	पेपर	DN	"१२""x५.७'"	"१0.६""x४'"	अ.१८, ब.१६	55	११+१३०= १४१	--	उत्तमस्तरीय:	--	Text, F.1-11, Commentary F.1-30 seperately paginated.	Grammar
००४८	651	पदरत्न चतुर्ज्ञानसहित	--	--	पेपर	DN	"१०.८""x४.२"""	"८"" x २.३"""	9	40	22	--	उत्तमस्तरीय:	शक १७२०	Padaratna in 64 कारिका: gives cryptic rules & examples about vedic पाठा:, accent etc. चतुर्ज्ञान exponuds the same.	Grammar
००४९	731	पदवाक्यरत्नाकर	गोकुलनाथ: शर्मा	--	पेपर	DN	"११.८"" x ४"""	"९.५"" x २.४"""	9	42	146	घनश्याम: जडिय:  s/o  बालकृष्ण:	उत्तमस्तरीय:	शक १७१५	--	Grammar
००५०	495	परिभाषार्थमञ्जरी	--	भीम: s/o माधवाचार्य:	पेपर	DN	"१०.२"" x ४.८"""	"८.६""x ३.६"""	13	37	36	--	मध्यमस्तरीय:	--	Last two foll. Torn, text damaged, numbering lost; Ends abruptly. परिभाषार्थमञ्जरी is a com. On  परिभाषेन्दुशेखर of  नागोजी: भट्ट:. It also called  भीमः after the name of the author.	Grammar
००५१	448	परिभाषासूत्र	--	--	पेपर	DN	"६"" x ४"""	"४.४""x ३"""	11	22	5	--	उत्तमस्तरीय:	--	Collection of various परिभाषा. Edges torn.	Grammar
