९३५	1113	as दक्षिणाकालिका  पार्वतीस्तुति +  दक्षिणाकालिका	_	_	Paper	DN	"६"" x ४.२"""	"४.६"" x ३.३"""	11	22	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
९३६	1287	(अ) दत्तात्रय - अष्टोत्तरशतनामस्तोत्र (ब) दत्तात्रयस्तोत्रमंत्र	_	_	Paper	DN	"७.६"" x ४.७"""	"५.६"" x २.४"""	7	24	4	_	उत्तमस्तरीय:	_	(a) Complete. (b) Incomplete, ends abruptly.	Stotras
९३७	990	दत्तात्रयकवचस्तोत्र + पार्थिवगणपतिपूजा	_	_	Paper	DN	"७.८"" x ४"""	"६.८"" x ३.२"""	12	26	2	_	उत्तमस्तरीय:	_	Complete.	Stotras
९३८	१२८८ अ	दत्तात्रयस्तोत्र	_	_	Paper	DN	"८.९"" x ४.३"""	"६.८"" x ३.३"""	8	26	3	_	उत्तमस्तरीय:	_	Complete. F.3 torn and the text slighlty damaged.	Stotras
९३९	1415	देवीसहस्रनाम + सूर्यरस्तुति+ शंकरस्तव	_	_	Paper	DN	"५.६"" x ४.५"""	"३.५"" x ३.२"""	8	14	49	_	उत्तमस्तरीय:	_	Incomplete. F.1-4, 8-44 missing, Folios are torn and the text is damaged Edges torn. Begins, end abruptly.	Stotras
९४०	1282	देवीस्तव	_	_	Paper	DN	"८.९"" x ४"""	"७.३"" x २.७"""	7	22	4	_	उत्तमस्तरीय:	_	Incomplete. F1-2 missing, same letters are lost on 4b. Begins, Ends abruptly.	Stotras
९४१	1290	देवीस्तोत्र	_	_	Paper	DN	"५.९"" x ५"""	"४.२"" x ३.४"""	9	14	5	_	उत्तमस्तरीय:	_	Incomplete F.1 missing, Begins, ends abruptly.	Stotras
९४२	१३३७ब	देवीस्तोत्र	_	_	Paper	DN	"५.९"" x ४"""	"४.२"" x  २.७"""	11	17	4	_	उत्तमस्तरीय:	_	Incomplete. F.1-2 missing, Begins, ends abruptly	Stotras
९४३	1000	धनदेश्वरीमंत्र	_	_	Paper	DN	"७.५"" x ४.६"""	"६.३"" x ३.६"""	12	28	1	_	उत्तमस्तरीय:	_	Incomplete. Begins, Ends abruptly	Stotras
९४४	1293	दुर्गास्तव	_	_	Paper	DN	"७"" x ४.९"""	"५"" x ३.३"""	9	18	10	_	उत्तमस्तरीय:	_	Incomplete. F.1-4 missing, Begins, Ends abruptly.	Stotras
९४५	995	दुर्गास्तुति	महेश्वर:	_	Paper	DN	"८.५"" x ७.५"""	"७"" x ६.५"""	24	33	1	_	उत्तमस्तरीय:	_	Complete. The folio has a hole in the midst and the text is damaged.	Stotras
९४६	996	 द्वादशाक्षरमंत्र	_	_	Paper	DN	"७.१"" x ४.६"""	"५.६"" x २.८"""	11	27	1	_	उत्तमस्तरीय:	_	Complete.	Stotras
९४७	1001	द्वादशमंजरीगुरुचरणमंगलस्तोत्र	_	_	Paper	DN	"७.३"" x ४"""	"६.५"" x ३.८"""	15	40	1	_	उत्तमस्तरीय:	_	Complete.	Stotras
९४८	1006	एकाक्षरगणपतिकवच (From: रुद्रयामलतंत्र)	_	_	Paper	DN	"८.५"" x ४.२"""	"६.६"" x ३"""	10	27	3	_	उत्तमस्तरीय:	शक १७३४	Complete.	Stotras
९४९	८५३क	गकारादिगणेशसहस्रनाम	_	_	Paper	DN	"५.५"" x ३.५"""	"३.८"" x २"""	6	15	34	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
९५०	1305	गणपतिसहस्रनाम	_	_	Paper	DN	"६.४"" x ३.३"""	"४.८"" x २.२"""	6	20	29	_	उत्तमस्तरीय:	_	Incomplete. Folios are moth-eaten and the text is slightly damaged. Ends abruptly.	Stotras
९५१	1307	गणपतिसहस्रनाम	_	_	Paper	DN	"५.१"" x ३.४"""	"३.८"" x २.१"""	6	14	41	_	उत्तमस्तरीय:	_	Incomplte. F.1-34 missing, Begins abruptly.	Stotras
९५२	८५३अ	गणपतिसहस्रनामावली	_	_	Paper	DN	"७"" x ३.६"""	"५.३"" x २.२"""	7	15	38	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
९५३	1304	गणपतिमहामन्त्र	_	_	Paper	DN	"६"" x ३.९"""	"४.५"" x २.५"""	9	14	2	_	उत्तमस्तरीय:	_	Complete. Folios are not paginated.	Stotras
९५४	1310	गणपतिस्तोत्रमालामन्त्र	_	_	Paper	DN	"८.३"" x ४.७"""	"६.२"" x २.८"""	7	25	2	_	उत्तमस्तरीय:	_	Incomplete. Ends abruptly.	Stotras
९५५	१३०८/१३०९	गणपतिसहस्रनाम	_	_	Paper	DN	"५.१"" x ३.४"""	"३.३"" x १.७"""	5	16	74	_	उत्तमस्तरीय:	_	Incomplte. F.9-12 missing. F.39 torn and the text is damaged. Ends abruptly.	Stotras
९५६	८५३द	गणपतिस्तोत्र	_	_	Paper	DN	"५.५"" x ३.५'"	"४"" x २.२"""	6	16	5	_	उत्तमस्तरीय:	_	Complete. F.1 is torn and the text slightly damaged.	Stotras
९५७	1015	गणपतिस्तोत्र (From: रुदयामल)	_	_	Paper	DN	"६.७"" x ३"""	"४.९"" x १.३"""	4	24	5	जीवराम:	सामान्यस्तरीय:	_	The text is however unreadable at places the ink is lost. The text is damaged. Complete	Stotras
९५८	1030	गणपतिस्तोत्र	_	_	Paper	DN	"५.९"" x ४"""	"५"" x ३"""	9	20	1	_	उत्तमस्तरीय:	_	Complete.	Stotras
९५९	1029	गणेशहृदयकवच	_	_	Paper	DN	"५.५"" x ३.४"""	"३.८"" x २.२"""	6	15	8	_	उत्तमस्तरीय:	_	Complete.	Stotras
९६०	1028	गणेशकवच + स्तवन	_	_	Paper	DN	"८.३"" x ४"""	"६.७"" x २.८"""	9	34	4	_	उत्तमस्तरीय:	_	Complete.	Stotras
