0049	731	पदवाक्यरत्नाकर	गोकुलनाथ शर्मा	--	Paper	DN	11.8"x4"	9.5"x2.4"	9	42	146	घनश्याम जड्ये  s/o बालकृष्ण	Good	shaka 1715	--	Grammar
0050	495	परिभाषार्थमञ्जरी	--	भीम s/o माधवाचार्य	Paper	DN	10.2"x4.8"	8.6"x3.6"	13	37	36	--	Fair	--	Last two foll. torn, text damaged, numbering lost; Ends abruptly. परिभाषार्थमञ्जरी is a com. On  परिभाषेन्दुशेखर of  नागोजी भट्ट. It also called  भीमा after the name of the author.	Grammar
0051	448	परिभाषासूत्र	--	--	Paper	DN	6"x4"	4.4"x3"	11	22	5	--	Good	--	Collection of various परिभाषाs. Edges torn.	Grammar
0052	316	परिभाषेन्दुशेखर 	नागोजी भट्ट	--	Paper	DN	12.2"x4"	10"x2.7"	9	43	59	--	Good	V.S. 1898	Marginal notes on some foll.	Grammar
0053	317	प्रौढमनोरमाटीका लघुशब्दरत्न	--	हरि दीक्षित	Paper	DN	12"x4"	9"x2.4"	8	40	44	--	Good	--	upto अच्सन्धि.	Grammar
0054	816	पुनर्वृत्तिविवेचना	आशाधर	--	Paper	DN	9.7"x4.5"	8"x3"	11	35	6	--	Fair	--	Ends abruptly; text damaged on all foll. on the left.	Grammar
0055	780	रूपावली	--	--	Paper	DN	9"x4.9"	8"x4"	15	34	6	--	Poor	--	Last three foll. moth-eaten & text damaged.	Grammar
0056	1452	शब्दानुशासन (१-५)	हेमचन्द्र	--	Paper	DN	9.4"x4.1"	7.8"x2.8"	10	50	18	--	Fair	--	F.2 missing; foll 10, 11, 14 torn & text slightly damaged.	Grammar
0057	861	सभ्याभरण	विश्वनाथ	--	Paper	DN	10.3"x5.2"	8.5"x4.2"	20	46	3	--	Good	--	Ends abruptly.	Grammar
0058	813	समासचक्र	--	--	Paper	DN	8.1"x3.9"	6.3"x2.6" "	10	40	3	s/o जिवण भट्ट	Good	--	--	Grammar
0059	640C	समासचक्र	--	--	Paper	DN	8.3"x4"	7"x3"	9	34	5	--	Good	--	--	Grammar
0060	1466	समासचक्र	--	--	Paper	DN	9.2"x4.1"	7.8"x2.2"	7	33	3	--	Poor	--	foll torn; text damaged. Ends abruptly.	Grammar
0061	315	समासवाद	भट्टाचार्य सार्वभौम रामचन्द्र	--	Paper	DN	12.5"x4.9"	9.7"x3.2"	9	52	9	--	Good	--	Edges torn.	Grammar
0062	658	व्याकरणग्रन्थ	--	--	Paper	DN	8.5"x4"	6.8"x2.7"	11	36	42+37+14+43+15+5+36+54+48+30+9+37+2+87=470	--	Fair	--	1b works on grammar; separate pagination; different handwriting at different places.	Grammar
