66	463	1537	Dharmshastra Lit & Ritual	गयाश्राद्ध	--	--	Paper	DN	"8""x3"""	"7.7""x2.6"""	10	38	2	--	Good	--	Ends abruptly.
67	459	1016	Dharmshastra Lit & Ritual	गर्भाधानप्रयोग	--	--	Paper	DN	"8""x4"""	"6.1""x2.5"""	9	35	4	काशीनाथ	Good	--	--
68	460	1017	Dharmshastra Lit & Ritual	गर्भाधानप्रयोग	--	--	Paper	DN	"8.3""x4.1"""	"6.1""x2.7"""	12	30	2	--	Good	--	Additions in margins on 2b.
69	461	1018	Dharmshastra Lit & Ritual	गर्भोत्पत्तिप्रायश्चित्त	रघुनाथ देवस्थली	--	Paper	DN	"13""x12.5"""	"11.2""x11"""	43	60	1	महम्ल	Poor	shaka 1646	F. folded into three. Folding lines torn, text damaged.
70	473	760	Dharmshastra Lit & Ritual	गृहप्रवेशविधि	--	--	Paper	DN	"11.9""x4"""	"9.8""x2.2"""	11	56	2	--	Good	--	--
71	474	302	Dharmshastra Lit & Ritual	गृह्यसंस्कारमन्त्राः	--	--	Paper	DN	"8.2""x4.4"""	"6.5""x2.8"""	10	25	128	--	Good	--	Foll. 1-18,20 missing. Begins, ends abruptly.
72	475	92	Dharmshastra Lit & Ritual	गृह्याग्निसार	नारायण भट्ट	--	Paper	DN	"12""x4.2"""	"9.3""x2.5"""	10	48	39	--	Good	--	End does not appear regular.
73	464	111	Dharmshastra Lit & Ritual	गोमुखप्रसव	--	--	Paper	DN	"8.2""x4"""	"8""x3"""	13	42	2	--	Poor	--	Text damaged at margins.
74	465	1025	Dharmshastra Lit & Ritual	गोमुखप्रसवशान्ति	--	--	Paper	DN	"7.7""x4"""	"6.2""x2.6"""	7	21	5	--	Good	--	--
75	471	1456	Dharmshastra Lit & Ritual	ग्रहणशान्ति	--	--	Paper	DN	"7.9""x3.9"""	"6.9""x3"""	14	40	12	--	Poor	--	Foll. 1-10 missing. Begins abruptly. F. 12 torn, text damaged.
76	466	237	Dharmshastra Lit & Ritual	ग्रहदानप्रयोग	--	--	Paper	DN	"8.4""x4.1"""	"7""x3.1"""	14	35	2	--	Good	--	The title given in the Ms is ग्रहदान.
77	467	294	Dharmshastra Lit & Ritual	ग्रहदानप्रयोग	--	--	Paper	DN	"8.4""x4.4"""	"6.4""x2.7"""	11	27	9	--	Good	shaka 1733	Owner: जडियs.
78	468	165	Dharmshastra Lit & Ritual	ग्रहमख	--	--	Paper	DN	"8.2""x4"""	"6.3""x2.5"""	8	27	12	--	Fair	--	Foll. 1-3 moth-eaten.
79	469	213	Dharmshastra Lit & Ritual	ग्रहमख	--	--	Paper	DN	"9""x4.8"""	"6.6""x2.8"""	10	32	15	--	Good	--	Ends abruptly.
80	470	739	Dharmshastra Lit & Ritual	ग्रहमख	--	--	Paper	DN	"8.1""x4"""	"7""x2.8"""	13	30	8	--	Good	shaka 1712	--
81	472	215	Dharmshastra Lit & Ritual	ग्रहशान्तिविधि	--	--	Paper	DN	"10.2""x4.8"""	"8""x3"""	9	35	7	--	Good	--	F. 1 missing. Begins abruptly. Marginal notes on F.Y.7.
82	432	4	Dharmshastra Lit & Ritual	चतुर्विंशतिमतव्याख्या (आह्निक)	भट्टोजी दीक्षित	--	Paper	DN	"8.5""x4"""	"6.6""x2.9"""	13	32	63	--	Fair	shaka 1623	F.1 moth-eaten, text slightly damaged.
83	428	608	Dharmshastra Lit & Ritual	चलप्रतिष्ठा	--	--	Paper	DN	"11.6""x4"""	"10""x2.5"""	9	36	3	भास्कर सप्त्य	Fair	--	Foll. moth-eaten, text slightly damaged. The work follows शौनक.
84	429	1119	Dharmshastra Lit & Ritual	चलप्रतिष्ठा	--	--	Paper	DN	"9.1""x4.7"""	"7.7""x3.3"""	11	34	5	--	Good	--	Ends abruptly.
85	430	214	Dharmshastra Lit & Ritual	चलप्रतिष्ठासरणि	श्यामसुन्दर	--	Paper	DN	"8.5""x4.8"""	"7""x4"""	12	34	8	--	Good	--	Foll. bear no.s 40-47.
86	431	776	Dharmshastra Lit & Ritual	चलार्चापद्धति	अनन्तदेव	--	Paper	DN	"8.2""x3.9"""	"6""x2.6"""	12	32	2	विष्णु हडकर	Good	--	--
87	480	59	Dharmshastra Lit & Ritual	जन्माष्टमीनिर्णय	विठ्ठल दीक्षित	--	Paper	DN	"8.7""x3.2"""	"7.7""x2.2"""	10	42	4	चिन्तामणि	Good	--	--
88	481	1325	Dharmshastra Lit & Ritual	जन्माष्टमीनिर्णय	--	--	Paper	DN	"8.1""x3.8"""	"8.1""x3.8"""	14	40	1	--	Poor	--	F. torn, text damaged. Margins lost.
89	477	163	Dharmshastra Lit & Ritual	जलशान्ति-प्रतिसरबन्ध	--	--	Paper	DN	"8.5""x4"""	"6.8""x2.5"""	9	25	26	--	Good	--	According to बोधायन.
90	479	178A	Dharmshastra Lit & Ritual	जलाशयप्रतिष्ठा-जलोत्सर्गविधि	--	--	Paper	DN	"8.2""x4"""	"7""x3"""	12	28	1	--	Fair	shaka 1682 (?)	Last line on 1b not readable.
91	478	204A	Dharmshastra Lit & Ritual	जलाशयाद्युत्सर्गविधि सटीक	--	--	Paper	DN	"11.2""x4"""	"9.4""x2.2"""	9	40	5	--	Good	--	According to बोधायन.
92	482	1048	Dharmshastra Lit & Ritual	जातिविवेकपद्धति	रघुनाथ देवस्थली	--	Paper	DN	"13""x12.2"""	"10.8""x11.2"""	44	64	1	--	Fair	shaka 1654	F. folded at two places, torn; text damaged.
93	483	193	Dharmshastra Lit & Ritual	ज्वरशान्ति	--	--	Paper	DN	"8.2""x4"""	"7""x3"""	9	25	4	कर्बेलकर	Good	--	--
94	585	50	Dharmshastra Lit & Ritual	तडागादिप्रतिस्ठाप्रयोग	--	--	Paper	DN	"10""x4.7"""	"7.5""x3.2"""	11	35	7	--	Good	--	Owner: गोपाल भट्ट.
95	586	664	Dharmshastra Lit & Ritual	तिथिनिर्णय	नागेश भट्ट	--	Paper	DN	"12.10""x4.4"""	"10""x2.2"""	13	55	17	घनश्याम जडिय	Good	shaka 1735	--
96	587	927	Dharmshastra Lit & Ritual	तिथिनिर्णय	रघुनाथ भट्ट	--	Paper	DN	"10.3""x4.7"""	"8.2""x2.8"""	11	57	25	--	Fair	V.S. 1858	Foll. moth-eaten, text slightly damaged.
97	588	1531	Dharmshastra Lit & Ritual	तिथिनिर्णय	--	--	Paper	DN	"8""x4.4"""	"6.7""x3"""	11	32	11	--	Fair	--	F. 1 missing. Begins, ends abruptly. F. 2,3 have torn margins; text damaged on 3.
98	600	1051	Dharmshastra Lit & Ritual	तृतीयानिर्णय	माधव	--	Paper	DN	"12.2""x4.2"""	"10.4""x2.6"""	11	58	2	--	Good	--	From कालमाधव.
99	597	1190	Dharmshastra Lit & Ritual	त्रिपिण्डीविधानप्रयोग	--	--	Paper	DN	"8.2""x4"""	"7""x2.8"""	12	36	5	कृष्ण केलकर	Good	--	--
100	592	265	Dharmshastra Lit & Ritual	त्रिपिण्डीश्राद्ध	हिमाद्री	--	Paper	DN	"7""x4.5"""	"5.4""x3"""	11	21	6	--	Fair	--	Foll. moth-eaten. Work from सारग्राह (?) of हिमाद्री.
101	593	249	Dharmshastra Lit & Ritual	त्रिपिण्डीश्राद्धप्रयोग	दिनकर भट्ट, अनन्त भट्ट	--	Paper	DN	"8""x4"""	"6.5""x2.7"""	10	34	5	--	Good	--	Besides regular pagination, another numbering viz 4-8. जलदानविधि from दिनकरोद्योत & the rest from विधानपारिजात.
102	594	417	Dharmshastra Lit & Ritual	त्रिपिण्डीश्राद्धप्रयोग	--	--	Paper	DN	"12""x4.1"""	"9.2""x2.8"""	10	36	4	--	--	--	according to दाल्भ्यस्मृति.
103	595	1188	Dharmshastra Lit & Ritual	त्रिपिण्डीश्राद्धप्रयोग	नारायणभट्ट	--	Paper	DN	"8.5""x5.5"""	"7""x4.4"""	18	42	2	--	Fair	--	Begins on 1a, continues on 2a, 2b and ends on 1b. F. folded, torn at the fold, text slightly damaged. Work from त्रिस्थलीसेतु.
104	596	207	Dharmshastra Lit & Ritual	त्रिपिण्डीश्राद्धविधि	--	--	Paper	DN	"6""x4"""	"5""x3.3"""	15	28	4	--	Good	--	--
105	589	118	Dharmshastra Lit & Ritual	त्रिंशत् श्लोकी	बोपदेव	--	Paper	DN	"9.7""x4.2"""	"8.3""x2.7"""	10	32	4	चन्द्रशेखर गुर्जर	Good	shaka 1708	--
106	590	1192	Dharmshastra Lit & Ritual	त्रिंशत् श्लोकी	बोपदेव	--	Paper	DN	"8.2""x4"""	"6.8""x3"""	18	52	2	--	Fair	--	Foll. moth-eaten, text damaged on 2a.
107	591	492	Dharmshastra Lit & Ritual	त्रिशत् श्लोकीटीका	--	भट्टाचार्य	Paper	DN	"7.9""x4"""	"6.3""x2.6"" """	11	32	27	--	Fair	--	F. 1 missing. Begins abruptly. Foll. 2-5 torn, text slightly damaged.
108	598	1538	Dharmshastra Lit & Ritual	त्रिस्थलीसेतु	नारायणभट्ट	--	Paper	DN	"10.1""x4.1"""	"8.4""x2.8"""	11	52	36	--	Poor	--	F. 1 missing. Begins, ends abruptly. Text damaged on all foll. which are torn.
109	599	216	Dharmshastra Lit & Ritual	त्रिस्थलीसेतुसार	--	--	Paper	DN	"8""x11.6"""	"5.8""x9.4"""	38	30	7	--	Fair	--	Foll. not paginated. Ends abruptly.
110	435	998	Dharmshastra Lit & Ritual	दत्तपुत्रविधान	--	--	Paper	DN	"8""x4"""	"5.5""x2.7"""	10	22	2	--	Good	--	According  to शौनक.
111	434	422	Dharmshastra Lit & Ritual	दानचन्द्रिका	दिवाकर भट्ट काल	--	Paper	DN	"11""x5.2"""	"8.2""x3.3"""	9	28	144	--	Good	--	Foll. 140-144 contain index.
112	437	1289	Dharmshastra Lit & Ritual	दायविभाग	--	--	Paper	DN	"8.2""x6"""	"7.3""x5.2"""	15	38	11	--	Good	--	According  to मिताक्ष२, मयूख  etc. F.2a has only 2 lines.
113	438	991	Dharmshastra Lit & Ritual	दायविभाग	--	--	Paper	DN	"11.8""x4.1"""	"10.4""x3"""	12	50	2	--	Good	--	--
